log T	log cool/n2
1.00	-28.233
1.10	-28.056
1.20	-27.871
1.30	-27.684
1.40	-27.494
1.50	-27.312
1.60	-27.136
1.70	-26.963
1.80	-26.783
1.90	-26.582
2.00	-26.362
2.10	-26.135
2.20	-25.922
2.30	-25.734
2.40	-25.572
2.50	-25.437
2.60	-25.324
2.70	-25.229
2.80	-25.146
2.90	-25.073
3.00	-25.004
3.10	-24.941
3.20	-24.877
3.30	-24.806
3.40	-24.741
3.50	-24.680
3.60	-24.624
3.70	-24.559
3.80	-24.451
3.90	-24.274
4.00	-23.898
4.10	-23.115
4.20	-22.028
4.30	-21.828
4.40	-21.932
4.50	-21.923
4.60	-21.833
4.70	-21.690
4.80	-21.508
4.90	-21.335
5.00	-21.277
5.10	-21.302
5.20	-21.286
5.30	-21.272
5.40	-21.275
5.50	-21.451
5.60	-21.666
5.70	-21.721
5.80	-21.788
5.90	-21.845
6.00	-21.846
6.10	-21.862
6.20	-21.921
6.30	-22.076
6.40	-22.250
6.50	-22.384
6.60	-22.464
6.70	-22.491
6.80	-22.493
6.90	-22.491
7.00	-22.501
7.10	-22.547
7.20	-22.618
7.30	-22.660
7.40	-22.668
7.50	-22.654
7.60	-22.628
7.70	-22.595
7.80	-22.557
7.90	-22.516
8.00	-22.473
8.10	-22.428
8.20	-22.381
8.30	-22.331
8.40	-22.278
8.50	-22.222
8.60	-22.162
8.70	-22.097
8.80	-22.027
8.90	-21.950
9.00	-21.865
