density	temp	[O III] 5007	[O III] 4363	[O III] 1665	[O III] 88	[O III] 52	[O III] 1661
0.000e+00	3.50000	1.000e+00	1.637e-04	9.842e-07	2.370e+02	1.213e+02	2.826e-07
0.000e+00	3.70000	1.000e+00	2.545e-04	2.122e-05	8.181e+00	4.306e+00	6.092e-06
0.000e+00	3.90000	1.000e+00	2.823e-03	1.459e-03	9.506e-01	5.149e-01	4.190e-04
0.000e+00	4.10000	1.000e+00	1.300e-02	2.065e-02	2.433e-01	1.385e-01	5.928e-03
0.000e+00	4.30000	1.000e+00	3.398e-02	1.094e-01	1.043e-01	6.414e-02	3.142e-02
0.000e+00	4.50000	1.000e+00	6.163e-02	3.016e-01	6.277e-02	4.206e-02	8.658e-02
1.000e+00	3.50000	1.000e+00	1.620e-04	9.132e-06	2.244e+02	1.233e+02	2.622e-06
1.000e+00	3.70000	1.000e+00	2.545e-04	2.150e-05	7.824e+00	4.365e+00	6.173e-06
1.000e+00	3.90000	1.000e+00	2.823e-03	1.459e-03	9.159e-01	5.206e-01	4.190e-04
1.000e+00	4.10000	1.000e+00	1.301e-02	2.064e-02	2.357e-01	1.397e-01	5.927e-03
1.000e+00	4.30000	1.000e+00	3.398e-02	1.094e-01	1.016e-01	6.451e-02	3.142e-02
1.000e+00	4.50000	1.000e+00	6.163e-02	3.015e-01	6.131e-02	4.221e-02	8.658e-02
2.000e+00	3.50000	1.000e+00	1.492e-04	6.276e-05	1.439e+02	1.308e+02	1.802e-05
2.000e+00	3.70000	1.000e+00	2.543e-04	2.348e-05	5.373e+00	4.636e+00	6.742e-06
2.000e+00	3.90000	1.000e+00	2.823e-03	1.459e-03	6.644e-01	5.507e-01	4.188e-04
2.000e+00	4.10000	1.000e+00	1.301e-02	2.064e-02	1.786e-01	1.463e-01	5.925e-03
2.000e+00	4.30000	1.000e+00	3.400e-02	1.094e-01	7.973e-02	6.663e-02	3.141e-02
2.000e+00	4.50000	1.000e+00	6.167e-02	3.014e-01	4.956e-02	4.302e-02	8.654e-02
3.000e+00	3.50000	1.000e+00	1.142e-04	1.592e-04	2.461e+01	8.350e+01	4.570e-05
3.000e+00	3.70000	1.000e+00	2.547e-04	2.767e-05	1.053e+00	3.261e+00	7.944e-06
3.000e+00	3.90000	1.000e+00	2.837e-03	1.458e-03	1.476e-01	4.177e-01	4.185e-04
3.000e+00	4.10000	1.000e+00	1.308e-02	2.062e-02	4.435e-02	1.166e-01	5.921e-03
3.000e+00	4.30000	1.000e+00	3.413e-02	1.093e-01	2.193e-02	5.451e-02	3.138e-02
3.000e+00	4.50000	1.000e+00	6.191e-02	3.011e-01	1.495e-02	3.561e-02	8.646e-02
4.000e+00	3.50000	1.000e+00	9.579e-05	1.992e-04	1.909e+00	1.541e+01	5.720e-05
4.000e+00	3.70000	1.000e+00	2.699e-04	2.999e-05	8.173e-02	6.564e-01	8.611e-06
4.000e+00	3.90000	1.000e+00	2.985e-03	1.479e-03	1.158e-02	9.165e-02	4.246e-04
4.000e+00	4.10000	1.000e+00	1.366e-02	2.087e-02	3.533e-03	2.764e-02	5.992e-03
4.000e+00	4.30000	1.000e+00	3.536e-02	1.104e-01	1.778e-03	1.384e-02	3.169e-02
4.000e+00	4.50000	1.000e+00	6.373e-02	3.036e-01	1.238e-03	9.591e-03	8.716e-02
5.000e+00	3.50000	1.000e+00	1.309e-04	2.544e-04	2.178e-01	2.077e+00	7.304e-05
5.000e+00	3.70000	1.000e+00	4.315e-04	3.624e-05	8.825e-03	8.658e-02	1.040e-05
5.000e+00	3.90000	1.000e+00	4.463e-03	1.726e-03	1.199e-03	1.200e-02	4.955e-04
5.000e+00	4.10000	1.000e+00	1.941e-02	2.386e-02	3.523e-04	3.607e-03	6.850e-03
5.000e+00	4.30000	1.000e+00	4.746e-02	1.238e-01	1.708e-04	1.801e-03	3.553e-02
5.000e+00	4.50000	1.000e+00	8.125e-02	3.346e-01	1.145e-04	1.247e-03	9.606e-02
6.000e+00	3.50000	1.000e+00	4.982e-04	7.570e-04	6.399e-02	6.216e-01	2.174e-04
6.000e+00	3.70000	1.000e+00	1.966e-03	9.613e-05	2.310e-03	2.317e-02	2.760e-05
6.000e+00	3.90000	1.000e+00	1.857e-02	4.202e-03	2.879e-04	2.952e-03	1.206e-03
6.000e+00	4.10000	1.000e+00	7.458e-02	5.388e-02	7.854e-05	8.210e-04	1.547e-02
6.000e+00	4.30000	1.000e+00	1.646e-01	2.586e-01	3.532e-05	3.772e-04	7.423e-02
6.000e+00	4.50000	1.000e+00	2.519e-01	6.466e-01	2.197e-05	2.403e-04	1.857e-01
7.000e+00	3.50000	1.000e+00	2.788e-03	5.777e-03	4.878e-02	4.748e-01	1.659e-03
7.000e+00	3.70000	1.000e+00	1.195e-02	6.946e-04	1.668e-03	1.676e-02	1.994e-04
7.000e+00	3.90000	1.000e+00	1.142e-01	2.897e-02	1.984e-04	2.036e-03	8.316e-03
7.000e+00	4.10000	1.000e+00	4.679e-01	3.546e-01	5.178e-05	5.388e-04	1.018e-01
7.000e+00	4.30000	1.000e+00	1.050e+00	1.612e+00	2.216e-05	2.330e-04	4.627e-01
7.000e+00	4.50000	1.000e+00	1.612e+00	3.787e+00	1.303e-05	1.384e-04	1.087e+00
